71,54,9,57.347,58.614,1.331,98,315,437,70.002,178.459,36.97,192,521,743,136.838,295.189,62.823
34,32,6,46.204,58.967,1.771,48,151,234,59.989,149.745,41.792,94,261,367,117.366,259.455,65.559
4,4,1,58.992,72.015,2.442,7,20,31,69.585,158.113,38.415,14,36,56,142.366,285.892,69.99
6,5,1,50.23,53.782,1.876,8,24,30,59.884,139.073,35.053,16,43,48,120.31,253.777,55.019
53,45,8,55.03,61.655,1.726,74,219,271,67.059,153.999,34.019,138,377,471,125.157,264.76,59.073
28,20,4,56.371,59.621,1.76,34,109,141,62.534,155.54,35.959,65,186,229,119.652,265.169,58.484
12,12,2,52.683,56.914,1.521,16,45,55,63.716,129.378,28.969,28,75,94,113.165,214.215,49.902
11,11,2,51.83,64.117,1.863,15,48,67,66.132,148.447,39.833,32,92,120,134.886,282.383,71.048
16,14,2,53.86,61.53,1.493,22,62,88,65.046,140.208,32.758,41,109,153,120.954,245.085,57.075
19,15,3,54.551,55.098,1.573,22,77,99,56.73,146.68,37.226,46,127,170,118.513,241.487,63.703
6,5,1,75.514,100.639,1.703,12,37,55,108.556,277.002,61.564,19,54,80,174.338,400.044,89.554
23,19,3,53.635,67.461,1.805,27,78,115,55.088,133.087,32.514,60,162,202,123.013,278.298,57.055
27,24,5,63.343,79.641,2.145,45,168,220,88.583,242.636,52.591,83,264,356,162.231,381.003,85.125
46,38,7,58.249,76.197,2.016,65,188,286,72.662,170.458,44.78,124,359,516,137.849,325.072,80.847
22,18,3,57.106,64.751,1.999,33,102,172,74.983,171.435,53.038,58,167,252,133.114,281.725,77.668
11,10,2,46.098,44.533,1.427,14,43,62,54.77,127.719,35.348,27,72,99,106.468,212.538,56.049
22,20,4,50.339,61.452,1.663,32,94,135,64.215,144.614,36.854,64,163,255,129.538,251.452,69.475
4,4,1,63.931,84.688,1.918,8,24,42,104.707,222.197,69.89,13,40,59,170.136,370.847,97.742
7,7,1,45.978,61.799,1.589,8,31,36,56.205,148.031,33.056,17,53,65,111.158,251.923,59.718
